City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
184,whitecourt,40,CA,1556424000,46,54.14,-115.68,32.0,8.05
185,college,1,US,1556429137,23,64.86,-147.8,51.8,6.93
186,lagunas,100,PE,1556429379,84,-5.23,-75.68,75.64,1.77
187,bonavista,40,CA,1556428520,87,48.65,-53.11,30.99,7.0
188,zhezkazgan,0,KZ,1556427600,51,47.8,67.71,59.0,11.18
189,mastic beach,1,US,1556429375,65,40.77,-72.85,48.2,11.45
190,shellbrook,90,CA,1556427600,34,53.22,-106.39,32.0,10.29
191,barcelona,20,ES,1556429366,81,41.38,2.18,57.0,8.05
192,alofi,13,NU,1556427600,88,-19.06,-169.92,77.0,8.05
193,airai,71,TL,1556429381,49,-8.93,125.41,89.5,0.51
194,acapulco,40,MX,1556426400,88,16.86,-99.88,75.2,3.36
195,napasar,0,IN,1556429381,10,27.97,73.56,102.82,4.63
196,ilo,86,PE,1556429381,83,-17.65,-71.34,70.24,10.22
197,xichang,50,CN,1556429267,33,27.88,102.25,86.0,7.34
198,fairbanks,1,US,1556429137,23,64.84,-147.72,50.0,6.93
199,vallenar,0,CL,1556429382,68,-28.58,-70.76,62.14,0.78
200,chalus,75,IR,1556427600,76,36.66,51.42,57.2,11.63
201,santa lucia,91,IT,1556427607,46,39.93,9.66,55.99,4.0
202,walvis bay,90,NA,1556427600,93,-22.95,14.51,54.0,3.36
203,high level,40,CA,1556427600,43,58.52,-117.13,35.6,2.24
204,bathsheba,40,BB,1556427600,74,13.22,-59.52,80.6,14.99
205,sayhat,100,SA,1556427600,26,26.49,50.04,78.8,6.93
206,cockburn town,44,TC,1556429384,80,21.46,-71.14,78.52,14.63
207,sur,0,OM,1556429384,23,22.57,59.53,94.9,0.65
208,ossora,0,RU,1556429385,66,59.24,163.07,32.98,3.89
209,zhongxing,100,CN,1556429385,66,32.02,116.14,61.42,5.66
210,matagami,63,NG,1556429385,68,9.67,8.4,77.26,2.62
211,faya,5,SA,1556427600,49,18.39,42.45,69.8,11.41
212,denizli,40,TR,1556427000,71,37.77,29.09,55.4,2.57
213,avarua,100,CK,1556427600,83,-21.21,-159.78,78.8,12.75
214,dostpur,0,IN,1556429386,5,26.27,82.47,109.48,21.21
215,dingle,77,PH,1556429386,42,11.0,122.67,95.26,14.23
216,goderich,100,CA,1556429344,92,43.74,-81.71,39.0,4.0
217,lompoc,90,US,1556429296,87,34.64,-120.46,57.0,3.36
218,sulangan,62,PH,1556429387,76,11.14,123.72,84.46,10.65
219,masakin,8,YE,1556429387,9,15.32,47.68,83.92,8.97
220,axim,72,GH,1556429387,86,4.87,-2.24,79.6,4.88
221,khatanga,95,RU,1556429388,87,71.98,102.47,11.56,12.01
